textID,selected_text
f87dea47db,Last session of the day  http://twitpic.com/67ezh
96d74cb729,shanghai is also really exciting ( precisely - - skyscrapers galore ) . good tweeps in china : ( sh ) ( bj ) .
eee518ae67,"recession hit veronique branquinho , she has to quit her company , such a shame !"
01082688c6,happy
33987a8ee5,i like it ! !
726e501993,that ` s great ! ! weee ! ! visitors !
261932614e,i think everyone hates me on here lol
afa11da83f,"soooooo wish i could , but im in school and myspace is completely blocked"
e64208b4ef, and within a short time of the last clue all of them
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!
24c92644a4,my bike was put on hold . . . should have known that . . . . argh total bummer
43b390b336, I checked.  We didn`t win
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?
5c1e0b61a1,"i ` m in va for the weekend , my youngest son turns 2 tomorrow . . . . . . it makes me kinda sad , he is getting so big , check out my twipics"
504e45d9d9,its coming out the socket i feel like my phones hole is not a virgin . that ` s how loose it is . . . : ` (
ae93ad52a0,"so hot today = _ = don ` t like it and i hate my new timetable , having such a bad week"
9fce30159a,miss you
00d5195223,cramps . . .
33f19050cf,you guys didn ` t say hi or answer my questions yesterday but nice songs .
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that."
9ef44428d0,stupid storm . no river for us tonight
be634ebeb0,my dead grandpa pays more attention to me than you do
3dcf4f7e13,". . . need retail therapy , bad . ahhh . . . . . gimme money geebus"
f0ef04109b,about to go to sleep
8be365118e,you are lame go make me breakfast ! !
c50bdd4567,thats so cool
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)"
b783916431,"Huh, another ScarePoint coding Sunday"
1fa8e6ad66,look who i found just for you - - - > http : / / twitter . com / djt2009
be38b29042,"no ac , the fan doesnt swing our way . . . we are sweating it out on a hot humid day"
95701e8ed9, guess that depends on if you want to be on the jury
4dd58ecd2c,resorted to eating Mickey Ds ALONE.
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world"
55c69c2d52, did he ask for your Twitter ID? Your sun sign?
9b1a52cc02, where`d you go!
cce5c4744a,. good film
c7f9d559e2,happy
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day
6d846d7d50,i ` m sorry at least it ` s friday ?
599f51af6b,"feels sorry every time i ` m printing out , i use like 200 new papers"
87daa62920,4n ? ma rog never heard of it esti beat acum ? u tweet too much
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.
d3d7b13278,"hi there . i agree ! small children should be running about happy , not breaking down in tears"
ddc07db84e,hope ur havin fun in da club
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...
17d18ba9ef,thinks sg is wonderful
ab57d75f20,im really sorry i know wallah how u feel this life is shittttttttt
f0acd25d8e,not happy
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show
d6c34fa875, I`ll oscillate from one to the other.
614aed9113,i ` m so very tired . . . and have insomnia .
dfa577d3c1,thanks
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.
a0bfb12773,"you seem nice , you ` re generous and you know your stuff"
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR
d33ed264b3,almost got a kitty yesterday...but it didn`t work out
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night."
fe1deac869,caladesi was definitely a nice peaceful way to spend a sunday ! i got a lil tan !
e591a725ef, i still dont know what we would do though
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?"
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.
7d87899024,"dear rain , you suck . now i gotta change my plans for tonight"
461b51fa58,at starbucks with my love. eff school. i have work later too.
c31d79c440,i just cried whilst watching hollyoaks . . i need a life ! lol
32ee7ef6c2,"hi all , just recovering from a party , looking forward to an exciting bank holiday around the diy shops . . . life cant get much better . surely"
29f805a7d2,Terminator Salvation... by myself.
d41fe360e4,"for . . . the . . . loss . dumbface . . . him , not u . what u up to on the wknd ? i wanna seeeeeee ya !"
a04c8c8695, Why do I have to enter my registration details every time I update?
25e42b2bf2,"on the monday , so i wont be able to be with you ! i love you"
5843d17b1d,"ur so cute . . i ` m a fan of dream a little dream , this kiss and appearances like in dawson ` s creek make more flicks !"
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x"
972dc5787d,young looking dude
0ba6aaf9aa,": hmmm , wrong link , ignore my tweet"
7a81537034,at & t cheated the system and now i have no green day tickets * * * * you at & t !
311d2b185b,tracy and berwick breaks my achy breaky heart they split ways in the hallways .
1e46d72ec6,"yep , i wish they were all playing dubiln"
390f169584, im a lady and ladies don`t move couches. they direct where the couches go
58129e4130,yay for block party ! you ` re the bomb ! blockheads < 3 dave ! thanks for supporting nkotb !
e6c9e5e3ab, 26th February
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky
a14b4ff440,happy
5d57a5eda2,thank
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time
c2ea5cb58b,not feeling all that well today
cde0016d6d,and this is my medicine . gum
5fc411e8d1,_berland LMAO I know I know
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>
76da985a47,the underwire in my bra is sticking out and poking me in the armpit
3a98aa4762,happy
886545bbab,"Yes, I am"
2afe118dc3, I can`t call Mitch!  Im from sweden!
704c53f4cf,happy
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet
c238c4dbb7,i just watched marley & me . . . i cried so hard !
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.
eb2fc4d281,haaaw . . well i get out of class at 10 : 50 . . i hope i make it
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent"
54670ca807,skype call with billie but my webcam dont work
3ab338c459,"just had a great study time followed by a delicious japanese meal with arty ! now , trying to get back into the study mood"
c7c7f7f025,fml not having a car is prohibiting finding a job
1256e6a4d2,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account"
990cdeae87,i want to see david cook ! !
9a55d83c79, yeh me 2
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!"
297f7d9e0f,yeah i need his fricken cell number ive tried his home for months and hes too busy . i miss braddddddddd
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.
3112944847,ughh on the phone with HP!
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart'
322546026e,yay about breaking 200 !
e6c154f9be,bahah sadly i am not
e96d849b35,i always have those for my champions league parties tis awesome
124e30d941,"well , not all . just stay away from those kinds and surround yourself with those who don ` t . happy mother ` s day to ur mom , treiz !"
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..
e90acf3c42,thats rough . hubby had knee surgery but it did help him in the end . let us know the results . we ` ll keep him in our prayers
0b0944285d,might have to go back much earlier than expected. bye bye bay area
a11da2d3bf,"playin city of villains , wishin my buddies were playin with me . . . . ."
161bfc7c8a,"yep - three things : a good haircut , the ability to listen and the value of not taking yourself too seriously"
4a65010643, riley hacked my twitter!  hahaha :]
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.
43e91a5488,i liked it . did you record it yourself ? if so you have a very soothing voice .
410dd99aa3,man im so sad school is ending  but then again high school might be better :O
b3eadfc565,"folks thought it was hilarious when i told them the story , and then they saw the shirt i wore tonight . laughter all night ."
480894125b,you ` re the absoute best
001617fca4,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz
52f2f23473,My near daily exercise is starting to show results.
e7e27b0c91, Welcome!
834dc73c0c,Bout to hit pmark then make one of my final meals wit the housemates..
aeb0e9d730,: you get to go home and i have to go to work
c672c9da1d,voted for  on CMT.com
cbee1946d3,tired yet
b1999f0951,now i have a sunburn
25510fbf89,i have the job this is a nice day it can not be better
bcb9426abb,i wish i could go to # bea this weekend .
0d29624200,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him"
3f0f5891ab,love your books
0b34e66ea3,jerk !
11de8c0456,im slowing on my tweets . . cuase i lost my phone
d5712716e9,well thank your phone for me .
3f90f95beb,why would they take a photo with stuffed animals ? ! that ` s pretty funny
c108e09b19,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak
7223fdccc2,tikcets are only i ¿ ½91 . . . each . . . but i so want to go
f254748cdb,happy
256453d14f,it ` s gonna be hot here today too . today is ryan ` s last day of pre - k . i can ` t believe it ! i ` ve been a sahm since i had him !
8fd01857a9,is dreaming of the weekend... awake!
37227c0dbf,"oh , * * * * me . i ` ve just returned from the supermarket of doom to find that i have nothing to drink here ."
20aff2fcb1, yay but you missed naptime
ca223af36e,s good
90977e9614,ghost .
433b1ab9ea,ahhh my mommie got me new sheets for my bed so comfy
37771d1bc1,_celeste  finally some sleep in silence
fa99046452,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday
14760477ad,is pretty dang tired . but chambers class is for napping .
da908a6635,i have to poop . . . is hogging the shitter
2053a455e9,YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv
1ea547383b,happy
6634c62acf,hahaha ! alright . .
c7240790da,aren ` t you suppossed to support the local economy . . . lol . . . good for you and congrats
08ede23635,good to know thanks
4e87dcff0e, what are you? flavor of the day?
4b0b53bc98,weathers let me down this morning...ugh!...hada gd nite tho!
fd3a622954,Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock
e34af4fd97,"e . l . o . wow , brings back so many happy memories . love this band ! . . and yes , i know i ` m showing my age but i don ` t care"
0e8aa10a4e,that ` s a very cute picture . . . but you don ` t get fat from licking bbqs . . . he must have found some chops on someone else ` s . . .
29148dc95c,oh i love sunday mornings like this - mum just made scrambled eggs on toast
56a15cf6ca,"hate working when its sunny , boohoo"
b99969c2fb,is ONLiNE  http://plurk.com/p/stjdg
b0f3142cb4,bundy. in 3 days.!!!! warm weather here i come!
5ff525b74b,wondering if i cld make things any worse than they already are . . . answer . . just did ! ! !
4fd80e66e0,a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/
e77a8f8f2d,twitter has spoiled all the fun . frustratingly slow ! ! couldnt even bid properly !
4ea7102112,completely agree
6a14956779,"If we don`t pack, she can`t leave, right?"
7c2fcb712e, ****  lol....where u headed to?
cdd172d6a7,someone else
d2a21b3cb7,"many ! mine included . ahem . shld have known better back then , wldn ` t have missed so many opportunities haha"
799e17e7a7,it ` s nice to leave the office when the sun is still up
0a49cdbdf6,i will miss the soccer moms
4a13c1093d," between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny"
9407ce6ccc, *sighs* Ah well.  Maybe my second email will clear it up and get him approved.
820f19ca44,"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****"
683bb73c09, --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary
0d14593b11,looking forward to body works today
9ac13b3739,messed up
16ee71e6df,sadly i think i know exactly were you put it - - in the expired drawer those things have a life span of less than two years
f5d47f04f5,"too much ? no , not unless one of the pillows ends up suffocating the one sleeping next to you ."
e131c496a2,Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon
bc6d7b4364,wow that was fast . . . next up soderling or ferrer . gilles simon lost
c87be630b5, Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me
e4ad1684bb,glad to know that the ad display problem was due to a firewall config at yr office . phew !
f7835156a5, woot!
03bb148b87,"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it."
b47c430fda, ???    ?????? - http://bit.ly/nAcK2
0234e16010,"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!"
be9ed19513,happy
bf7240df91,Must head back to the office
2f883c6eb1,st joe is dirty .
a1320a5050,http://twitpic.com/4w67k - Camping at black butte lake
d72a60bee8," are you getting my messages or do you have to add me to recieve them, soz I`m new to this"
bc9ebe0002,i hate my life
64ddc1f8a2,sick to my stomach . . and i have a headache . . i wish someone could come rub my temples .
03f6b8d900,* * * * ! natalya ! you gotta tell me whats going on ! ! ! i ` d call you but i lost all my phone numbers when i broke my blackberry
2d475b1b23,! !
87473f5175,crying real tears
7a09871d21,_Brown been holding onto this one for a while  http://twitpic.com/4w5eh
96ec2855e4,panchito ` s burfday party tonight . . . wish you were here kiddo !
45cf9ba329,Back from town and my Mac crashed on me  but it`s better now
bab68144cd,ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?
fc49e426f5,the best things in life are free x
a172818c9e,misses my mom today . she was my best friend and even though she has been gone several yrs i still miss her dearly . happy mother ` s day
036191bb61,i am watching blood + on veoh episode 19 love the music . wishing i could watch the live action but not old enough
3ef85c201c,that is a bummer
ea348ea738, He is the truth! But what about Maxwell? You can`t forget the future father of my children!
fd10f463c9,bread !
e6e02e1be6,be sure to let the moms you know how fabulous you think they are ! ! almost mother ` s day .
8112c62d00,"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back."
0f89951346,no launch today . teacher changed plans and we watched a stupid move about tesla
f3ec0395b0,it ` s very pleasant . i sooo rarely just have time to kill . . .
37ffa83550,thank
cb8c730261,tiz a good song
be33b5cb9a,Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going
4fed31099f,yours .
de288eb45b, what causes the frustration buddy?
7ab82d9fda,you ! ' return of the mack ' is the jam !
9d8a45d308,ready for this saddenning depressing dullful upsetting dreadful weekend .
d25c4179f6,sorry
6cd35dd82e,"i do my humble best going on a works paintball day soon so that should fuel a few strips , no doubt"
65275b51e2,longeerr maan . [ u ]
9fae9e3145,_ morden . . be at richard ` s . if not then i ` ll see you when you / we get back good luck !
e515132ae4, Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done
df3c7485ae,spent the last hour signing yearbooks . i ` ll miss you guys !
bd8ba2ad7e,and i just love every little thing about you . . .
58be40735c,my mobile has stopped recieving text messages again . stoooopid thing
b5a0a16fd7," Hi Simon, let me know when it`s done"
044f146e5c,had an amazing night with my favorite lady friend
a8e17db0cc,with her smushed in head
abda0ac082,is fixin to clean the house for my mom for mother ` s day
